netlist,score,intersections,restarts,max_reverts
"[(14, 19), (8, 10), (11, 8), (16, 18), (23, 14), (8, 14), (2, 1), (20, 3), (16, 9), (7, 15), (17, 10), (12, 25), (10, 14), (23, 17), (24, 9), (4, 6), (6, 8), (20, 6), (4, 24), (16, 22), (21, 20), (4, 1), (16, 6), (11, 5), (3, 21), (23, 12), (4, 16), (21, 11), (4, 5), (24, 5)]",1269,3,250,20
"[(23, 14), (10, 14), (6, 8), (16, 9), (8, 10), (23, 12), (16, 6), (20, 6), (20, 3), (8, 14), (2, 1), (14, 19), (12, 25), (23, 17), (21, 20), (17, 10), (4, 5), (4, 16), (3, 21), (16, 18), (16, 22), (24, 9), (24, 5), (7, 15), (11, 8), (21, 11), (4, 6), (4, 1), (4, 24), (11, 5)]",997,2,500,20
"[(21, 11), (4, 5), (16, 22), (12, 25), (8, 14), (6, 8), (4, 6), (16, 18), (16, 9), (23, 14), (10, 14), (4, 1), (11, 8), (14, 19), (16, 6), (7, 15), (21, 20), (2, 1), (3, 21), (20, 6), (11, 5), (8, 10), (17, 10), (24, 5), (4, 24), (23, 17), (23, 12), (4, 16), (24, 9), (20, 3)]",1573,4,750,20
"[(11, 5), (14, 19), (16, 22), (16, 6), (23, 17), (4, 6), (16, 18), (4, 1), (7, 15), (8, 14), (12, 25), (17, 10), (24, 9), (2, 1), (4, 5), (8, 10), (21, 20), (4, 16), (11, 8), (10, 14), (16, 9), (23, 12), (6, 8), (3, 21), (20, 6), (23, 14), (20, 3), (4, 24), (21, 11), (24, 5)]",969,2,1000,20
met z aanpassing
"[(7, 15), (11, 5), (21, 20), (3, 21), (8, 14), (16, 22), (23, 17), (4, 16), (24, 9), (4, 6), (6, 8), (16, 9), (11, 8), (14, 19), (21, 11), (24, 5), (23, 12), (10, 14), (16, 18), (16, 6), (20, 3), (12, 25), (17, 10), (23, 14), (4, 1), (2, 1), (4, 24), (8, 10), (20, 6), (4, 5)]",3097,9,1,1
"[(6, 8), (10, 14), (16, 18), (4, 6), (23, 17), (7, 15), (4, 1), (4, 5), (2, 1), (16, 6), (16, 9), (17, 10), (8, 10), (12, 25), (4, 24), (11, 8), (16, 22), (24, 5), (3, 21), (20, 6), (11, 5), (24, 9), (8, 14), (14, 19), (21, 20), (23, 12), (23, 14), (20, 3), (21, 11), (4, 16)]",4575,14,1,1
"[(8, 10), (10, 14), (16, 18), (23, 14), (6, 8), (4, 6), (4, 1), (11, 8), (17, 10), (23, 12), (23, 17), (16, 6), (16, 9), (4, 5), (7, 15), (8, 14), (20, 3), (14, 19), (2, 1), (3, 21), (4, 24), (20, 6), (21, 20), (24, 5), (21, 11), (24, 9), (16, 22), (4, 16), (11, 5), (12, 25)]",3085,9,5,5
"[(8, 14), (8, 10), (16, 6), (23, 17), (16, 9), (4, 5), (21, 11), (24, 9), (2, 1), (20, 3), (7, 15), (4, 6), (16, 22), (10, 14), (4, 16), (17, 10), (11, 8), (6, 8), (11, 5), (3, 21), (16, 18), (14, 19), (23, 14), (21, 20), (23, 12), (20, 6), (12, 25), (4, 24), (24, 5), (4, 1)]",1577,4,100,20
"[(10, 14), (20, 6), (16, 18), (11, 5), (16, 9), (4, 6), (6, 8), (23, 12), (21, 20), (16, 6), (3, 21), (20, 3), (4, 1), (8, 10), (23, 17), (4, 16), (8, 14), (11, 8), (24, 5), (21, 11), (23, 14), (16, 22), (4, 5), (7, 15), (17, 10), (24, 9), (12, 25), (4, 24), (2, 1), (14, 19)]",3971,12,2,2
"[(16, 9), (6, 8), (3, 21), (11, 8), (14, 19), (2, 1), (16, 22), (10, 14), (17, 10), (11, 5), (4, 1), (24, 5), (20, 3), (8, 14), (4, 16), (23, 12), (21, 11), (23, 14), (20, 6), (4, 6), (8, 10), (16, 6), (16, 18), (21, 20), (23, 17), (4, 24), (24, 9), (12, 25), (4, 5), (7, 15)]",813,1,1,1
"[(4, 6), (11, 8), (4, 16), (16, 9), (4, 1), (21, 11), (24, 9), (8, 14), (17, 10), (12, 25), (16, 22), (16, 18), (24, 5), (21, 20), (7, 15), (14, 19), (23, 12), (10, 14), (20, 3), (16, 6), (23, 17), (20, 6), (4, 24), (8, 10), (3, 21), (4, 5), (11, 5), (23, 14), (2, 1), (6, 8)]",805,1,1,1
"[(23, 12), (7, 15), (8, 10), (4, 6), (24, 9), (6, 8), (4, 16), (14, 19), (16, 18), (17, 10), (2, 1), (11, 5), (23, 14), (4, 24), (16, 6), (21, 11), (16, 9), (20, 3), (21, 20), (23, 17), (4, 5), (10, 14), (4, 1), (12, 25), (3, 21), (11, 8), (8, 14), (24, 5), (20, 6), (16, 22)]",455,0,1000,100
