netlist,score,intersections,restarts,max_reverts
enkele swap, best 5
"[(39, 50), (28, 39), (33, 26), (50, 29), (38, 41), (4, 22), (41, 48), (14, 46), (15, 17), (37, 21), (38, 44), (22, 34), (28, 48), (45, 29), (50, 13), (38, 3), (34, 8), (40, 39), (47, 30), (46, 39), (2, 38), (35, 20), (13, 10), (6, 40), (27, 42), (9, 5), (6, 18), (6, 42), (12, 46), (49, 3), (16, 23), (44, 32), (25, 30), (18, 36), (2, 12), (15, 35), (4, 11), (13, 6), (2, 14), (31, 33), (31, 8), (39, 8), (22, 43), (28, 37), (17, 9), (4, 15), (34, 32), (1, 40), (15, 44), (13, 37), (12, 11), (35, 3), (17, 11), (48, 45), (23, 45), (15, 47), (2, 21), (26, 7), (26, 18), (7, 34), (31, 41), (33, 3), (45, 35), (19, 43), (1, 4), (30, 38), (27, 40), (47, 1), (49, 35), (40, 4)]",21921,69,1000,50

"[(9, 5), (34, 32), (38, 41), (27, 42), (6, 42), (15, 17), (26, 7), (31, 8), (33, 26), (6, 40), (15, 44), (46, 39), (28, 37), (30, 38), (35, 20), (4, 11), (1, 40), (27, 40), (19, 43), (16, 23), (28, 39), (22, 34), (25, 30), (22, 43), (13, 37), (37, 21), (38, 3), (39, 50), (41, 48), (12, 46), (45, 29), (47, 30), (13, 6), (28, 48), (50, 13), (31, 33), (49, 35), (38, 44), (2, 21), (2, 12), (4, 22), (2, 38), (40, 4), (34, 8), (13, 10), (49, 3), (44, 32), (7, 34), (17, 9), (26, 18), (14, 46), (48, 45), (4, 15), (23, 45), (17, 11), (47, 1), (35, 3), (31, 41), (33, 3), (6, 18), (15, 47), (18, 36), (40, 39), (39, 8), (15, 35), (50, 29), (12, 11), (45, 35), (1, 4), (2, 14)]",22801,72,1000,20
"[(4, 11), (28, 39), (7, 34), (35, 20), (28, 48), (38, 41), (39, 50), (25, 30), (2, 21), (40, 39), (41, 48), (37, 21), (12, 46), (50, 29), (31, 33), (17, 11), (39, 8), (27, 42), (22, 34), (13, 37), (15, 35), (15, 17), (1, 4), (6, 40), (17, 9), (34, 8), (6, 42), (33, 3), (26, 18), (2, 14), (28, 37), (2, 38), (46, 39), (49, 3), (6, 18), (34, 32), (47, 30), (40, 4), (9, 5), (12, 11), (31, 8), (15, 47), (45, 35), (2, 12), (48, 45), (13, 10), (35, 3), (22, 43), (23, 45), (13, 6), (4, 22), (27, 40), (1, 40), (38, 44), (26, 7), (18, 36), (16, 23), (31, 41), (44, 32), (45, 29), (30, 38), (49, 35), (50, 13), (38, 3), (4, 15), (19, 43), (15, 44), (14, 46), (47, 1), (33, 26)]",21013,66,500,20
"[(17, 11), (12, 46), (13, 6), (31, 41), (28, 39), (16, 23), (41, 48), (35, 20), (39, 50), (22, 34), (7, 34), (13, 10), (38, 44), (25, 30), (30, 38), (12, 11), (38, 41), (4, 15), (1, 4), (49, 35), (34, 8), (6, 42), (40, 39), (44, 32), (31, 33), (27, 40), (48, 45), (19, 43), (33, 3), (37, 21), (4, 11), (9, 5), (40, 4), (46, 39), (38, 3), (26, 7), (6, 40), (26, 18), (39, 8), (33, 26), (15, 35), (13, 37), (4, 22), (45, 29), (23, 45), (34, 32), (28, 48), (28, 37), (2, 38), (18, 36), (35, 3), (2, 14), (2, 12), (50, 13), (1, 40), (14, 46), (6, 18), (2, 21), (45, 35), (22, 43), (50, 29), (15, 47), (15, 17), (15, 44), (27, 42), (17, 9), (31, 8), (49, 3), (47, 1), (47, 30)]",22809,72,250,20

"[(46, 39), (13, 6), (50, 29), (2, 21), (34, 32), (47, 1), (25, 30), (27, 42), (13, 37), (16, 23), (2, 12), (28, 37), (6, 42), (23, 45), (28, 39), (33, 26), (44, 32), (22, 43), (9, 5), (49, 35), (7, 34), (28, 48), (14, 46), (45, 35), (38, 44), (48, 45), (22, 34), (35, 3), (26, 18), (2, 38), (1, 40), (38, 3), (39, 50), (31, 33), (26, 7), (18, 36), (6, 18), (15, 44), (47, 30), (12, 46), (2, 14), (45, 29), (6, 40), (30, 38), (31, 41), (19, 43), (35, 20), (34, 8), (49, 3), (38, 41), (33, 3), (17, 9), (4, 22), (17, 11), (40, 39), (15, 47), (41, 48), (4, 11), (1, 4), (27, 40), (15, 17), (4, 15), (50, 13), (15, 35), (37, 21), (39, 8), (40, 4), (12, 11), (31, 8), (13, 10)]",21925,69,250,100

"[(28, 37), (31, 33), (38, 44), (35, 20), (26, 7), (4, 22), (28, 48), (39, 8), (4, 11), (2, 21), (14, 46), (15, 17), (44, 32), (22, 34), (45, 35), (34, 32), (13, 10), (16, 23), (45, 29), (13, 6), (28, 39), (39, 50), (22, 43), (27, 42), (27, 40), (12, 46), (2, 12), (18, 36), (48, 45), (30, 38), (38, 41), (15, 47), (31, 8), (47, 30), (6, 40), (37, 21), (15, 44), (12, 11), (50, 29), (33, 26), (40, 39), (23, 45), (34, 8), (35, 3), (25, 30), (41, 48), (47, 1), (13, 37), (49, 3), (33, 3), (40, 4), (38, 3), (6, 18), (31, 41), (1, 4), (50, 13), (6, 42), (17, 9), (1, 40), (46, 39), (15, 35), (2, 38), (7, 34), (26, 18), (9, 5), (17, 11), (49, 35), (2, 14), (19, 43), (4, 15)]",25201,80,30,50
"[(22, 43), (26, 18), (39, 50), (25, 30), (14, 46), (44, 32), (38, 3), (22, 34), (23, 45), (46, 39), (13, 6), (6, 18), (39, 8), (45, 29), (7, 34), (31, 33), (49, 3), (48, 45), (30, 38), (45, 35), (34, 32), (38, 41), (40, 4), (49, 35), (15, 17), (28, 37), (27, 40), (33, 26), (4, 22), (15, 47), (18, 36), (37, 21), (2, 12), (1, 40), (38, 44), (16, 23), (47, 1), (4, 11), (13, 10), (2, 14), (47, 30), (13, 37), (6, 42), (34, 8), (15, 44), (27, 42), (26, 7), (50, 29), (19, 43), (2, 38), (31, 8), (31, 41), (2, 21), (17, 11), (28, 48), (41, 48), (6, 40), (1, 4), (28, 39), (12, 46), (40, 39), (50, 13), (17, 9), (4, 15), (15, 35), (12, 11), (35, 3), (35, 20), (33, 3), (9, 5)]",25819,82,30,100
